line_number,sents,has_clause,type,predicate
0,"Shower Doors is a relatively small company that can offer you more personalized service, which is something not offered by many companies today.",0,,
2,"Hardware is very well made, offering a diverse selection of style and color",0,,
3,Hardware is very durable and offers you many years of trouble free operation.,0,,
5,"He has only just become a free agent, but if this report is true then he will have many former teammates to play with, including Lucas 'LUCAS1' Teles, Henrique 'HEN1' Teles, and Lucas 'steel' Lopes.",0,,
6,"Now that you know your priorities and price range, use the criteria to narrow your home search",0,,
7,Start with my Featured Listings to see examples of beautiful North Shore homes,0,,
10,Contact me to arrange a personal showing of any home in the North Shore area!,0,,
12,"We took to the only wildflower field that I could find this year, which was in Huntsville",0,,
13,The park itself is just so beautiful and compliments my Outdoor Family Photography Woodlands session collection so nicely,0,,
14,I love the rich colors it has to offer and the beautiful family that I was able to photograph,0,,
15,No complaining here!!!,0,,
16,Tweet Me if You Love Me!,0,,
17,"If you’d like to learn more about my sessions, click here",0,,
18,"And to get in touch, ask questions, or just say hi.",0,,
19,drop me a line,0,,
20,I’d love to hear from you.,0,,
22,"If you are self conscious about your arms, wear sleeves.",0,,
23,"If you don’t like dresses, don’t wear one!",0,,
24,"If your husband doesn’t love suspenders and has never worn them a day in his life, please leave those at the store",0,,
27,So if you aren’t one to dress in a cowboy hat and boots then why would you for a photo shoot,0,,
30,Just don’t do it,0,,
31,"If you love white and jeans, find different styles of white shirts and different tones of blue jeans (dark, weathered, light, etc)",0,,
33,"This is all great information, but where do you get all these dreamy clothes?",0,,
34,"And if you do not want to purchase clothing, I do have a few clothing options if you’d like to come to the studio to take a look.",0,,
37,"My goal is to document your life the way your kids sees it, and the way you want to be remembered.",0,,
42,"when you click with your clients, magic kind of happens",0,,
44,I clicked with this beautiful family and found a new friend in this little 4 year old,0,,
49,"My family and I have had an interesting couple of weeks, to say the least",0,,
50,"My husband graduated (HOORAY!) from Sam Houston after a long time of blood, sweat, and tears",0,,
53,We took to a location I had my eyes on for about a year,0,,
54,I was waiting for the perfect type of session to take to this specific place,0,,
59,Aubrie was a sleep fighter of champs but we managed to get a few minutes of her sleeping on her belly towards the end of her The Woodlands Newborn Studio session,0,,
65,Below are summaries of the crashes of the seriously injured or fatally inured person who were not listed as in error of traveling in the wrong lane or crossing the center line,0,,
66,Of course all incident reports are not final and do not represent proof of fault of any driver,0,,
67,"In each of these collisions as reported by the MSHP a vehicle crossed the center line and struck another vehicle head-on or in several instances, a driver was driving the wrong way on a highway and then struck another vehicle head-on",0,,
71,"Louis, MO woman and an 18 year-old Hannibal, MO woman were both seriously injured when a Toyota Matrix driven by an 18 year-old Country Club Hills, IL man crossed the center line and struck their Mazda.",0,,
72,"February 17, 2019, Adair County, Hwy 6: A 34 year-old Brashear, MO man was seriously injured along with his 10 year-old son when a 28 year-old Canton, MO man crossed the center line on icy highway and struck their Jeep head-on",0,,
73,The 28 year-old driver of the Ford truck was also seriously injured.,0,,
74,"March 25, 2019; Stone County, MO 143: An 82 year-old Crane, MO woman was killed when her Chevy HHR was struck head-on by a Ford Ranger driven by a 68 year-old Marionville, MO man",0,,
76,"March 27, 2019, Christian County, US 6: A 67 year-old Reeds Spring, MO man was killed when a Chevy Impala crossed the median and struck his Harley Davidson motorcycle, two other motorcyclist were seriously injured as one was also hit head-on and another motorcyclist was struck by debris",0,,
77,"The two seriously injured motorcyclists include a 70 year-old man and a 67 year-old man from Springfield, MO",0,,
78,The driver of the Impala was also seriously injured.,0,,
79,"As evident, head-on car collisions are serious crashes",0,,
80,"There are a number of reasons head-on collisions occur such as inattentiveness, improper passing, distracted driving and driving under the influence",0,,
83,The commonalities in each of these crashes are serious injuries and death,0,,
85,No one should have to face the insurance negotiations or potential litigation on their own.,0,,
87,Transform your dingy old chairs to beautiful seating arrangements for all of your guests,0,,
88,"With our more than 80 different color options for sash matching, you can personalize your decorations to meet your expectations.",0,,
90,"Health Assist ZONE offers seven bundled plans with varying levels of health, dental, drug and travel coverage at competitive prices - plus a few added perks.",0,,
97,"Over the years, we gave our absolute best to deliver quality locksmith services to the people of Zip Code 80211 at an affordable price",0,,
98,"Today, be it a simple lock repair or duplication of high-security keys, people rely on only one name: Town Center Locksmith Shop.",0,,
99,Do you have a solution to completely disable this feature?,0,,
100,I could find this other answer which can help you to disable the blogposts.,0,,
101,How can I disable adding Blog Posts?,0,,
102,"So, if you desire to receive these amazing images about (Awesome Baby Shower Clipart), click on save icon to store the graphics to your laptop",0,,
103,"They are ready for download, if you appreciate and want to obtain it, click save badge in the page, and it’ll be directly saved in your notebook computer",0,,
108,Last time we gave the crown to dynamic duo Rose and Rosie,0,,
109,"This week, we’re giving the title to the hilarious Tiny Tim’s Adventures!",0,,
110,Who is Tiny Tim’s Adventures?,0,,
111,Why should you watch Tiny Tim’s videos?,0,,
112,"If you need something to brighten your day, then Tiny Tim’s channel is for you",0,,
113,The concept is simple; Tiny Tim’s videos are a series of prank calls in which he puts on a child’s voice and pretends to be a kid navigating his way through adult life,0,,
114,"From trying to book a tattoo to buying a house, we’ve witnessed a number of hilarious pranks in which Tiny Tim tries to unsuccessfully be an adult.",0,,
115,You’re not really going to find any profound content here but you will find hysterically funny material which is guaranteed to put a smile on your face,0,,
116,It’s impossible to watch any of Tim’s videos without belly laughing,0,,
117,"When life brings you down, Tim’s cheeky nature will lighten the mood for sure.",0,,
119,"The phone call gets passed around a number of confused staff members, which adds to the hilarity of the video",0,,
122,He phones a jewellers to get advice on the best engagement ring to buy.,0,,
124,"When in Spain, he goes on the hunt for his real padre with hilarious consequences.",0,,
129,I develop isomorphic apps with Ractive and have webpack building and packaging for different environments except NodeJS,0,,
130,"I don't need any building process on NodeJS right now, but I should do this in your case.",0,,
132,In my case I use the component files via RVC (RequireJS),0,,
133,"For me there's no build step - ie, components are loaded straight in the browser.",0,,
136,CommonJS2 is the only modular system which works stable right now and could be compiled for other environments via Webpack.,0,,
138,Suggesting tool-specific procedures and folder structures would be against its intended design.,0,,
140,There are entities who lock down their network to the point that there's no npm and therefore no build tools.,0,,
141,but what's the point of two different versions?,0,,
142,"Actually, it doesn't matter because including Webpack to you module you give to the user the ability to build any kind of module they need.",0,,
145,"It's almost zero-friction, since it's all JS",0,,
146,"Buble takes care of the ES, Rollup takes care of the modules, and I usually output an IIFE and stick it to the HTML.",0,,
148,"I don't use this approach because it little bit weird to me - all stuff in one big file, like PHP did before.",0,,
149,But you still need to use Babel and Rollup even if you need to run this code in NodeJS,0,,
150,I'm not because my modules already ready-to-use in NodeJS and ready-to-compile with Webpack.,0,,
151,This is something I still haven't fully considered yet,0,,
156,"Though dynamic imports aren't actually a thing yet, so..",0,,
158,"The intensive course is the course that has the most varied type of students, with participants of all age groups and backgrounds.",0,,
159,"This course is for students that are not able to stay for long periods in Spain, and need to improve their Spanish in a short span of time",0,,
161,"If you would like to take an intensive course and are able to stay for a three month period, take a look at the Intensive Semester programs.",0,,
162,The intensive monthly course is a 4 hour per day program that has 6 different levels available.,0,,
163,Finding Inspiration is always something I have to do to stay involved in the creative process,0,,
164,If I don’t have any inspiration I won’t create and I need to create as an outlet,0,,
165,Clearing my mind and my physical space is important,0,,
166,Usually before I can get creative I organize my space and I also need to be able to relax,0,,
167,Being in the right state of mind is extremely important for me to be inspired,0,,
168,I sometimes need to feed my creativity and nurture my own ability,0,,
169,This is sometimes difficult to find an experience that truly fuels and nurtures,0,,
170,"Listening to a song, or seeing a photograph or reading an article can be inspirational at times",0,,
171,I’d like to learn more ways so inspiration can be controlled.,0,,
174,"The fact is, not everyone intends to be your Facebook friend",0,,
175,"Everyone makes use of Facebook in different ways, some approve good friend requests from everyone, others wish to keep job and residence life different, while some people just disregard requests completely.",0,,
180,"Exhibits in Landscapes of Life include an immersive audio-visual theatre showing personal stories of remembrance, a history of remembrance timeline, with examples from the Bronze Age to the present day; and interactives, for visitors of all ages, including a memory booth where visitors can record their own stories and a digital poppy field.",0,,
181,Included in the entry price for the exhibition is access to the Arboretum’s temporary exhibition gallery and an audio guide which can be used to explore and learn about 93 of the memorials across the Arboretum site.,0,,
183,"HotelHome Paris 16 is 1,000 feet from Jasmin Metro Station, which offers direct access to the Eiffel Tower and the Champs-Élysées",0,,
185,When would you like to stay at HotelHome Paris 16?,0,,
187,We chose to buy thisapart-hotel in 2002 because we like to welcome and receive our guests not only as customers but as friends,0,,
188,We love to make their stay pleasant and comfortable in a very friendly atmosphere,0,,
190,"Choosing HotelHome Paris 16 is choosing a helpful staff, unique apartments, and a team at your service",0,,
191,Your stay will earn in quality.,0,,
192,"If you plan to arrive later than 18:00 or on a weekend, please contact the hotel in advance to obtain the main door access code.",0,,
196,"The lift is to small, so it takes time to bring the luggage to the 5th fl.",0,,
197,Beds need to be renewed because they are noisy and uncomfortable.,0,,
