25,Having a graduating senior has finally forced my hand to figure out how to bring our video archives into this new Internets thingy.,1,constituent,figure out
27,And the experience is still paying dividends; this is where I learned to storyboard as well as to improvise when the storyboard became incompatible with reality.,1,constituent,improvise
34,I get why there is a Michigan culture that supports hunting and related lifestyle.,1,constituent,get
35,"Unfortunately, I also understand why there are a very small percentage of zealots who take the guns and rugged independence and separate society to an extreme, and that’s why we end up with groups like the Michigan Militia from the 1990s and now the Hutaree of today.",1,constituent,understand
50,"To get the most beneficial bumper boat, one which is well-made and may last for quite some time, you have to know how to decide on the correct manufacturer.",1,constituent,know
53,You simply need to know how to locate them and evaluate each company.,1,constituent,know
82,"Query why, exactly, we allow a tax deduction for charitable giving.",1,constituent,query
87,"In this article, we try to understand how people made sense of a family death, within the social contexts of their lives.",1,constituent,understand
89,"We discuss how people made sense of the family death in relation to three main contexts: family, religion, and materiality.",1,constituent,discuss
114,One should never apologize for how they are feeling.,1,constituent,apologize for
145,Find out how you can take your business to the next level in Washington State by contacting one of our business experts right now!,1,constituent,Find out
157,"Clearer, perhaps, than even Action Comics #775, the conclusion of In the Name of Gog demonstrates why Superman is the world's greatest super-hero, bar none.",1,constituent,demonstrates
164,"And the Nightwing/Superboy pairing is ingenious; it makes you wonder why no one's put these two legacy heroes together before, and I'm eager to see how that plays out in Teen Titans: Life and Death.",1,constituent,wonder
176,"It remains to be seen how DC might collect the various crossover miniseries specials, however, perhaps along with the lead story from the Infinite Crisis Secret Files.",1,constituent,seen
179,"Whether Vengeance will include Sam Loeb's #26, and how DC will collect Mark Verheiden's issues after Jeph Loeb departs, remains to be seen.",1,constituent,seen
185,I was sad and upset at a lot of her decisions but I understood how messed up things were for her.,1,constituent,understood
200,"This explains why imported basic commodities, such as chicken, milk and toilet paper, are now scarce, just as in the old Soviet Union, or in today’s Cuba.",1,constituent,explains
202,"Delving into history, I hear the refrain, “BREAD and CIRCUSES” The Roman emperors kept the Roman mob satisfied with bread and circuses, food and entertainment, (now you understand why the liberal elite controls Hollywood,) while looting the empire to pay for the bread and the circuses, and to quiet the mob.",1,constituent,understand
213,"However, it’s important to discuss the way In the Future came to be and how the process impacts the album.",1,constituent,discuss
233,"In an article explaining why the Conservancy is stepping up its collaboration with IHA, which you can read in full here, its Director of Sustainable Hydropower Dr. Jeff Opperman said, We want to do our part to help create a future world, one where people can live, learn and thrive supported by a sustainable energy system and one that harbours beautiful and productive rivers, including wild ones.",1,constituent,explaining
328,We are happy to discuss your case and how we can help you.,1,constituent,discuss
341,"Everybody's motivations are reasonable, but it's not too clear why Troy doesn't just sit tight behind its imposing walls.",1,constituent,clear
350,"But one of the questions I asked myself is, I wonder how many people talk with God even a fraction of the time they spend on their cell phone?",1,constituent,wonder
370,"We work with the client to discuss how they plan on incorporating the strategic plan, who will be involved, how detailed of a plan they need for their organization, how they plan on communicating it, and, if they have a board, how they will be involved in the process.",1,constituent,discuss
375,"-- When Lamar Jackson is asked about how much he has grown, the Baltimore Ravens quarterback thinks to last year's practices where he would get the play from a coach and try to repeat it in the huddle before stopping.",1,constituent,asked about
377,I cannot wait to see how this thing ends up.,1,constituent,see
394,"Once self storage sees how much money has been wasted on items the child does not play with, it may help to curb future purchases.",1,constituent,sees
446,"First, however, it would be very useful for the Wall Street Journal to explain, in clear and simple language, how handing over near-total control of the financial markets and the creation of money and credit to the State is in any way promoting ""the cause of free markets.""",1,constituent,explain
482,I don't know how long awhile will be.,1,constituent,know
539,I usually went along and listened because I am interested enough to spend a couple of hours hearing why people think Amway is a good idea.,1,constituent,hearing
546,"“Spare time is a foreign concept to us”, Ben answered when I asked how swamped they get before a tour.",1,constituent,asked
547,A journalist once asked us how we were doing so well.,1,constituent,asked
550,"Well, since my husband's father suffered from dementia and I know how confused they can get, I could already relate to his issues.",1,constituent,know
556,Even less frequently do we hear of how the survivors continue with their lives and search for some sort of resolution.,1,constituent,hear of
559,"Despite the heavy topic, ""While We Slept"" is indeed a book of hope and redemption worth reading for anyone who has ever stopped and wondered why anyone would kill and what could be done about it.",1,constituent,wondered
561,"Great story and once you read it, you will totally see how real and honest they are about how they could forgive.",1,constituent,see
581,"Greenwood clearly demonstrates how this demand can be met in cases where textual evidence is plentiful, be it in the form of published monographs and commentaries or private letters and notebooks.",1,constituent,demonstrates
620,"It is situations like this that truly test our patience, and the subsequent decisions we make reflect who we are, what we stand for, and what kind of role model we will be for our children.",1,constituent,reflect
651,It is not known when the hostages - whose nationality was not immediately known - were seized.,1,constituent,known
659,"Keith Carr, who has now retired, remembers when he went to treat him in 2013.",1,constituent,remembers
663,The aim is to show spectators how litter is harming our waterways and killing marine life both here and out at sea.,1,constituent,show
669,He says how he much he has enjoyed working for the council and nothing ever made him want to leave.,1,constituent,says
686,"While thanking voters, Jon explained how the future of the party is going to look.",1,constituent,explained
697,He also plans to develop his own career but failed to comment on how or what he is planning.,1,constituent,comment on
711,Questions are being asked as to why councils are ploughing money into fracking when support for it is consistently low.,1,constituent,asked as to
717,Twickenham Film Studios has tweeted how their thoughts are with those affected by the fire that broke out in Liverpool’s Littlewood building last night.,1,constituent,tweeted
728,It is not known as yet which production team members will be presented to Charles and Camilla.,1,constituent,known
734,And did she ask who the next Doctor might be?,1,constituent,ask
735,"Everybody else in the building has asked me who the next Doctor is, and I can tell you honestly we don't know.",1,constituent,asked
749,"Richard E Grant is back with his evil Great Intelligence, the Doctor’s greatest secret is revealed, all of his friends rally round to protect him and we finally understand why the Doctor has met Clara so many different times.",1,constituent,understand
752,"And on romance: Perhaps, you'll have to wait and see - god knows how he'd react to romance, the Doctor - or my Doctor, anyway!""",1,constituent,knows
762,"The Doctor returns to contemporary London and finds himself meeting Clara Oswald for the third time; he’s been searching the universe for her, but will she even know who he is?",1,constituent,know
771,"As the newest edition to the show, Jenna explains how this series will take the viewer on the same journey of discovery she experienced when she first joined, especially for episode two - The Rings of Akhaten - which is set on an alien planet.",1,constituent,explains
791,It remains unclear who will be the host of the annual event.,1,constituent,unclear
792,There was no mention of who will be hosting when the Recording Academy made its announcement.,1,constituent,mention of
805,Let me take a moment to tell you what is this all about and how it got started.,1,constituent,tell
811,"To see how his slightly left-of-center orientation (or left-of-right, as the case may be) means that he is a slightly controversial figure in some circles today see here, including an oft-repeated rumor about why his notes are in that Talmud edition (and therefore almost all editions since) Also here.",1,constituent,see
852,"In this issue of Perspectives, we asked an alumna, staff member, faculty member, and current student to discuss how communication has changed with technology.",1,constituent,discuss
859,Peter Pond Society Newsletter 1 relates how the site was originally pinpointed with the help of airplane surveillance in 1942.,1,constituent,relates
887,I often reflect on how incredibly lucky I am to have such close links with my extended family and that is in no small part down to you.,1,constituent,reflect on
890,It is wonderful too how many new memories you have been able to be a part of in recent years.,1,constituent,wonderful
33,The best way to start is to take one of the short orientation tours just to get a feel for the town and also to know what bus to catch to go where you wish.,1,constituent,know
118,Can you imagine what can be taught about sex for 12 or 15 years?,1,constituent,imagine
135,"A wife can rightly tell the pastor, You do not know what I have to go through.",1,constituent,know
188,"You want to know what you can build on your property, so you consult the zoning code again.",1,constituent,know
302,"The field is open for other scholars to build on and explore not only issues of policy and representation in Mexico, but also investigate what if anything has proven effective in combating gender violence, as well as researching how the different levels measured by the Gender Inequality Index affect change.",1,constituent,investigate
333,"I put the case back on the phone, wondering what to do next.",1,constituent,wondering
336,I asked numerous times what was going on but they weren’t really sure.,1,constituent,asked
337,"As a result, we decided last year to take things a step further and ask the publishers what their top 5 most anticipated novels of the year were.",1,constituent,ask
404,Who decides what should be a World Heritage site?,1,constituent,decides
453,"Just take the time to read these notes and this earlier blog entry, so that you know what to expect, and plunge yourself in the vibrant, ever expanding universe of Detective Conan “where high adventure and mystery awaits all who seek it!”",1,constituent,know
592,"Bobby, you really know what it takes to get the girl!",1,constituent,know
635,Each isomer can be synthesized using the trans effect to control which isomer is produced.,1,constituent,control
699,"No money coming in, money going out, into August now still no job, got the family together & explained the situation to them, down to enough for 3 house payments left, don’t know what lies ahead for us.",1,constituent,know
724,"Trying to think of what I could do with my new toy, my thoughts naturally turned to the projects I've been working on recently -- compilers and a dynamic language runtime.",1,constituent,think of
765,"Sometimes in real life, you wont know what value to use here, and it’s beyond the scope of this article to talk about how to choose values.",1,constituent,know
793,He didn’t know what caused Ida to say the next thing.,1,constituent,know
797,He remembered the instant his father realized what was happening.,1,constituent,realized
854,If you ever want to know what it feels like to be the best-dressed person in the room then get yourself a handcrafted leather iPhone case.,1,constituent,know
865,"His first foray was in the field of plant reproductive biology, in which he learned why two medicinal plants are going extinct in nature.",1,constituent,learned
867,The researchers used big data sets collected from seismic waves formed during earthquakes to probe what's happening deep in Earth's interior.,1,constituent,probe
870,"How mantle flows on Earth might control why there is life on our planet but not on other planets, such as Venus, which has a similar size and location in the solar system to Earth, but likely has a very different style of mantle flow.",1,constituent,control
938,"The children could not tell me where they came from or what they had been through, but I could see their trauma in the way a tiny girl panicked when a child snatched her toy, and from the big tears that filled a little boy’s eyes as his mother left him to meet with a volunteer.",1,constituent,tell
939,We can’t know what their futures will hold.,1,constituent,know
977,"It has been a very long time since my last update, I can't even remember when it was... or what it was about!",1,constituent,remember
1037,"You never know when you meet new blogger friends, what is safe"" to talk about and what is not.""",1,constituent,know
1048,"In the mean time, here's an image (unfinished) that I created trying to flesh out what Othello would look like as a younger mouse.",1,constituent,flesh out
1057,"It focuses mainly on Megan and how she’s thinking and feeling, and what she’s going to do, and less so on what happens to her physically, but it was good!",1,constituent,focuses on
1058,"She kept pestering Megan about what she was going to do, and had she told her Mum, she just wasn’t helping at all.",1,constituent,pestering about
1059,"Through those conversations, everything was explained bout what Megan’s options were; keeping the baby or having it adopted, and what either choice would mean for her as she is 15.",1,constituent,explained bout
1104,We need to think about what is needed to help us do both these things at the same time.,1,constituent,think about
1122,"I'm not sure what Zhawq does, but I'm very aware of when I'm doing it nowadays.",1,constituent,sure
1136,Not until the early 20th century did we even realize what those fuzzy patches of light were.,1,constituent,realize
1147,We now know what this looks like at a cellular level.,1,constituent,know
1195,"And, I want to know what happened.",1,constituent,know
1278,Jessica: And so it is this idea of just accepting who you are as a person and what you’re like as a person.,1,constituent,accepting
1326,"In this way they remotely measure the wind at height, for example, to distinguish which of two differing model predictions most accurately represents reality.",1,constituent,distinguish
1343,"It's impossible to find out what that half-life is, which means that it is very hard to use it to estimate how much time it will stay in your system.",1,constituent,find out
1374,They read the question cards on the table and mused about what they’d take to a desert island and what chore they’d choose never to do again.,1,constituent,mused about
1387,You have a right to ask what information Agape Wellbeing holds about you and for a copy of that information to be made available to you.,1,constituent,ask
1404,"But of course, you know what we really need?",1,constituent,know
1493,"Consumer-side technology is also seeing growth, as medical-marijuana users try to figure out what works for their ailments and recreational users search for the strains that make them feel a certain way.",1,constituent,figure out
1511,Say things a number of different ways and decide which one you want to lead with.,1,constituent,decide
1548,"He better know what he's doing, Pat told herself as she tried to slow the spin, growing more uncomfortable with her situation by the moment.",1,constituent,know
1562,Sometimes our customers don’t really know what needs they have and what problems they’re having until we actually go in and roll up our sleeves and talk to them.,1,constituent,know
1587,His main responsibility is to raise the creativity for companies that hire him so that they decide themselves what measures need to be taken.,1,constituent,decide
1594,"Man, you don't even know WHAT I'm thinking right now.",1,constituent,know
1595,And I don't know what you're thinking right now...nor do I want to know.,1,constituent,know
1610,"Once I know which angles are of most interest to you, I would be happy to provide sidebar ideas, an estimated word count and a working title.",1,constituent,know
1640,"Sometimes, I wonder what made me change that much.",1,constituent,wonder
1647,"It's the fact you know what's going to happen in each chapter, to each character and what's going on throughout the book.",1,constituent,know
1676,I might see what other ARC books are on offer next year to take part in.,1,constituent,see
1679,"Now, for those of you who don't know what Myers is, it's a major department store here in Australia which is usually very expensive.",1,constituent,know
1687,"I don't know what happened, or why this has happened, but it's been going really well.",1,constituent,know
1714,Let us all know what you're reading and your opinions of your favourite authors at this time of year.,1,constituent,know
1717,It makes me think about how to write what I want to put out there instead of just typing it out.,1,constituent,think about
1719,"This time, I want to ask you, my readers, what your most favourite books of all time are and how many times you've read them.",1,constituent,ask
1782,Ever wondered what it is like to hear from your loved one that they have been diagnosed with cancer?,1,constituent,wondered
1802,I don't know what it was but I was so distressed and so upset that I just ate it.,1,constituent,know
1840,The first step to setting an intention is deciding what you would like to put your energy towards in your life.,1,constituent,deciding
1875,"I would like to know what exit strategy the Chinese central bank has, if any...",1,constituent,know
1883,"I know exactly what I want in my head, I just have to make it work for the house.",1,constituent,know